1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
49.7,46.4,43.2,39.3,36.1,34.7,34.7,34.4,37.5,43.3,49.4,54,51.8,47,41.1,40.8,42,48.7,56.2,58,58.6,57.5,54.4,51.5
45.7,39.9,37,34.5,33.6,33.8,36.9,41,46.1,52.2,57.8,61.8,65.1,67.5,64.6,62.2,62.8,67.1,71.1,71.4,70.7,66.2,60.7,56.2
48.1,41.6,38.6,36.5,35.8,36.1,39.8,45.3,52.8,56.6,54.1,53.8,53.7,51.9,50,49.1,52.5,61.8,70.3,71.1,71.3,67.3,60.8,55.2
47.9,42.1,38.8,36.5,35.1,34.9,37.9,40.7,45.8,52.1,53.9,53.2,52.1,50,49.1,49.1,52.8,60.1,69.5,70.9,68.7,65,59.1,54.9
47.9,42.1,38.9,36.2,34.2,34,35.1,36.6,38.6,39.9,42.5,44.6,45.5,44.4,41,42.5,47,55,63.9,66.1,66.4,64.8,60.1,54.6
46.8,40.8,37.7,35.4,33.9,33.3,35.3,37.7,41.2,44.8,45.9,50.4,55.7,57.2,52.7,51.7,54.4,60.6,67.8,69.1,69.1,66.3,61,55.3
47,40.4,37.4,34.9,33.6,34,38.4,46.1,54.9,62.1,63.9,65.5,68.9,69.7,67,64.2,67,73,79.1,78.4,77,72,63.8,57.3
49.4,42.7,39.2,36.4,34.7,34.7,40.1,50.1,57.4,62.3,63.7,64.5,64,64.5,62.6,60.9,62.7,68.6,75.6,76.9,76.8,72.9,66.9,59
49.4,42.6,39.4,37.1,35.8,36.1,40.7,51.9,55.7,60.8,62.2,61.8,65.4,63.8,56.6,57,57.8,65.6,75.2,77.1,78.2,74.6,68,59.7
50.2,43,39.8,37.3,36.5,36.9,42.1,53,56.8,56.5,54.5,53,52.9,51.9,50.5,49.6,52,59.4,70.7,72.8,73.2,69.5,63.7,57.5
50.1,42.3,39.2,36.5,35,34.2,36.8,40.1,43.9,47.8,47.9,46.4,46.8,48,48,48.4,50.3,58.2,68.1,68.5,67.1,62.8,56.6,51.5
45.8,40.1,37.5,34.6,33.4,32.7,33.8,35.5,37.1,38.4,40.8,43.2,43.9,42.6,38.7,38.1,41.7,48.2,58.5,61.6,62.7,60.9,56.1,51
44,38.1,35.3,33.2,31.9,32.7,37.3,46.8,51.4,55.8,56.8,56.7,57.7,57.9,58.6,59.2,61.3,65.5,72.2,73.8,74.3,69.8,62.8,55.1
46.3,40.3,37.4,34.7,33.4,34,38.9,48.4,50.3,52,50.5,51.5,53.3,53.3,51.8,51.8,54.9,59.5,69,71.4,72.5,68.5,62.7,54.7
46.6,40.6,37.3,35.1,34,34.6,39.7,48.6,53.3,56.3,53.9,53.8,53.2,54.8,54.6,53.9,56.9,62.7,70.5,72.4,72.7,69.2,62.8,54.3
46.4,40.3,37.4,34.9,34.5,35.3,40.4,49,55.5,60.9,62.9,62.8,61.3,60.5,58.2,55.5,55.1,60.3,71.3,72.9,74.3,70.2,64.3,56.3
47,40.3,37.2,35.2,34.8,35.3,40.2,49.4,52.4,52.6,50.6,48.9,48.2,50.7,48.8,48.6,52.3,57.5,67.3,68.7,68.5,64.5,58.6,53.2
46.5,40.6,37.5,34.8,33.3,32.9,35.7,39.1,42.9,45.7,45.4,45.7,46.6,47.1,47.8,47.5,50.6,57,66.4,68,66.5,62.4,56.2,52.1
44.8,38.8,36.2,34.2,32.5,31.7,33.2,34.6,38,43,44.6,46.7,44.6,42.2,38.1,37.6,40,46.3,58.7,62.3,63.8,61.7,56.3,50.8
43.9,37.8,35,33,31.8,32.4,37,46.1,49.7,51,49.7,48.1,47.4,48.1,46.3,43.7,44.8,51.3,64,66.5,67.7,65.1,59.2,51.9
43.6,37.3,35.1,33.1,32.2,32.4,37.4,46.3,50.2,51.1,49.5,48.6,48.2,48.7,46.8,45,46.2,52.4,64.8,67.4,68.2,64.7,58.5,51.3
42.3,37.2,34.4,33,31.7,32,36.7,45.7,49.4,51.5,55.8,53.9,53,54.6,51.8,51.9,53.9,58.5,68.6,69.5,70.5,66.4,59.1,51.8
44.7,39.1,36.2,33.9,33.7,34.5,39.4,46.1,48.7,50.5,48.2,48.6,49.3,49.2,46.4,45.6,47.9,53.2,66.7,69.4,69.8,66.1,60.2,53.1
44.8,38.8,36.1,33.9,33.3,34,38.3,46.9,51.6,55.3,54.4,58.6,58.1,57.1,53.4,54.3,56,0,70.7,72.5,72.5,67.6,60.5,54.7
47,40.7,37.7,35.2,33.6,33.6,36.5,39.6,42.3,45.1,45.5,46.4,50.7,51.2,49.3,52.9,55.5,56.1,65.7,68.2,66.1,61.3,55.4,51.5
45.6,39.6,36.5,34.2,33,32.6,34,35.4,40.9,46.7,50.4,55.2,61.9,61,54.8,54.2,54.9,58.9,65.9,69.2,69.5,66.1,59.6,53
45.9,39.1,36.2,33.8,32.8,33.4,38.6,50.9,56.7,60.3,58.7,57.8,0,0,0,0,0,0,0,0,0,0,0,0
