1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.75,1.72,1.14,2.71,3.39,1.98,0.83,1.14,2.96,2.74,3.88,4.52,4.62,5,5.37,7.13,8.98,12.21,14.6,16,15.01,15.07,13.72,9.41
10.11,10.78,6.52,2.02,0.04,0.08,0.97,4.14,5.82,7.87,7.82,7.15,5.58,4.54,3.62,3.76,4,2.6,2.96,3.95,5.31,4.24,3.32,1.59
0.45,0.32,0.36,0.49,0.15,0.09,0.14,0.23,0.39,0.26,0.22,0.31,0.41,0.37,0.53,0.55,0.44,0.71,1.54,1.5,0.4,0.79,1.66,2.01
2.44,3.14,2.36,1.82,2.17,3.57,4.27,5.27,6.59,7.18,8.77,9.86,12.14,10.06,10.3,9.26,12.27,13.3,10.6,9.55,11.06,9.66,7.23,5.48
3.46,2.38,2.46,3.16,3.43,2.81,2.57,2.77,1.96,1.93,2.86,2.93,3.05,2.67,3.32,2.83,2.66,3.2,3.38,4.46,7.09,6.63,8.58,7.25
10.37,11.63,11.15,6.42,4.96,4.53,5.22,9.41,13.82,15.13,15.16,14.12,16.39,16.26,14.55,12.21,9.45,12.03,7.98,5.86,7.51,5.65,6.56,6
4.23,4.31,3.26,2.12,4.65,4.02,3.71,3.42,2.85,2.55,3.86,2.67,1.1,0.4,5.82,15.85,17.19,9.89,8.31,5.58,5.51,5.33,6.44,10.97
13.08,14.77,10.47,5.85,4.86,5.25,7.86,11.99,12.88,19.28,21.68,20.56,21.37,21.1,20.26,19.89,19.39,18.96,18.62,19.38,19.22,19.47,16.59,15.3
10.81,8.64,6.79,5.6,5.22,5.26,5.54,5.93,11.33,12.76,16.06,18.59,18.62,17.98,19.02,17.19,17.2,17.04,15.19,14.65,18.02,15.6,11.63,6.95
4.67,2.34,1.53,1.11,0.72,0.46,0.47,2.03,3.48,3.59,4.63,8.06,10.31,8.57,11.02,12.55,13.95,16.21,18.32,18.02,17.66,19.25,19.62,15.71
10.56,11.54,11.37,10.72,8.46,7.2,10.68,12.38,13.44,13.07,11.29,10.85,8.14,8.23,8.21,10.46,10.44,10.02,10.3,10.46,6.82,6.07,8.11,9.58
8.4,6.53,7.68,8.78,5.8,5.06,5.66,5.55,6.46,5.83,5.45,5.27,5.73,5.25,7.5,7.72,6.38,6.41,6.8,7.98,10.29,10.59,12.13,13.79
11.04,7.07,3.9,3.36,2.6,1.28,0.44,0.86,4.02,4.96,3.43,1.61,0.82,1.24,1.38,1.7,3.05,1.18,0.74,1.27,1.2,1.93,2.53,5.62
5.58,2.86,1.98,1.08,1.79,3.99,4.39,5.6,4.22,2.64,1.42,0.31,0.28,0.8,1.45,1.48,0.65,0.27,1.61,2.16,4.75,4.22,6.61,11.47
12.88,10.87,13.45,14.92,14.76,15.04,13.82,12.93,14.34,16.26,16.12,19.68,18.77,18.56,17.88,17.7,16.61,14.08,17.03,18.73,21.08,20,19.19,19.77
15.48,12.76,8.9,6.9,5.42,5.35,8.13,10.95,12.14,12.85,12.03,10.2,5.68,3.9,3.18,3.32,1.82,0.41,0.16,0.45,0.75,0.59,0.56,0.89
1.78,3.41,4.64,5.89,4.37,2,0.55,1.16,0.34,0.14,0.31,1.13,1.66,2.51,1.26,2.01,2.76,3.13,2.44,3.91,4.37,6.58,10.86,8.87
8.4,10.08,12.09,14.7,17.95,19.29,17.48,14.51,15.19,14.8,15.42,16.52,17.44,20.24,18.56,19.54,18.61,20.96,20.1,19.15,19.12,18.13,16.16,15.87
15.93,15.41,14.88,12.6,9.94,12.99,13.25,15.11,11.33,15.11,15.03,15.31,19.81,20.69,14.15,10.04,14.13,18.59,20.33,22.84,21.17,20.2,16.37,12.98
11.77,8.07,5.74,5.99,5.91,5.51,7.91,11.64,16.85,21.54,19.75,19.59,13.25,15.01,11.79,10.8,11.19,11.82,17.65,19.65,19.02,19.93,15.77,6.35
4.26,2.97,3.51,2.02,1.32,1.6,5.43,13.76,16.48,17.47,17.77,17.91,20.43,22.13,22.18,22.28,22.02,22.52,24.66,25.74,25.2,24.33,21.78,17.84
10.54,6.89,4.03,3.13,2.91,2.89,4.32,11.57,13.32,13.4,12.06,12.18,13.58,17.91,15.24,14.13,13.92,13.24,13.45,12.6,14.07,15.41,15.07,11.94
9.99,9.8,8.85,8.52,8.79,6.75,5.89,5.69,5.1,4.37,5.06,7.54,10.13,9.42,9.69,10.98,9.03,7.67,8.77,7.37,5.78,5.8,5.84,4.87
1.88,2.86,1.96,2.81,3.81,4.17,2.63,5.26,7.72,10.29,16.54,16.92,16.48,20.62,14.82,13.55,12.76,0,14.92,19.58,17.73,16.06,13.88,12.57
10.37,8.58,7.23,6.95,6.25,6.65,8.61,13.31,18.71,12.1,9.75,12.6,11.47,11.1,10.9,11.37,18.79,21.77,24.07,23.69,22.56,22.05,18.6,14.35
10.9,9.04,5.96,4.61,4.09,3.74,4.25,5.68,5.75,8.13,7.79,10.03,12.95,11.56,12.67,12.46,12.82,12.05,13.37,14.07,13.92,13.52,12.1,8.8
8.41,7.18,7.39,7.4,6.63,4.55,4.81,2.49,1.02,1.37,1.84,1.25,0,0,0,0,0,0,0,0,0,0,0,0
9.15,7.97,8.4,11.35,13.81,17.26,19.99,20.28,21.02,21.06,20.05,18.07,15.42,14.92,15.07,14.37,12.45,13.42,15.45,12.8,10.94,13.66,17.93,17.56
13.21,9.46,7.71,6.95,7.58,5.93,8.52,13.1,10.69,11.96,15.09,15.96,17.24,16.17,14.4,16.04,14.1,12.29,7.81,3.62,2.01,3.06,3.17,2.02
1.08,1.87,0.9,0.01,-0.01,-0.01,0,0.12,0.46,0.48,0.8,2.18,1.13,0.79,2.83,3.03,0.82,1.49,1.76,0.63,1.79,3.21,0.64,1.05
0.74,0.82,4.01,4.36,4.23,3.8,5.15,7.48,5.84,3.45,2.06,3.47,1.61,0.42,0.75,1.49,1.89,5.64,12.33,17.92,20.26,17.21,16.49,16.9
14.98,16.65,18.88,13.52,11.65,14.4,15.85,16.05,12.07,7.16,9.84,10.41,14.42,15.29,17.42,19.32,19.72,20.41,18.44,19.14,19.4,16.97,13.29,10.06
8.75,6.34,9.92,8.95,6.64,6.82,7.38,9.82,11.64,11.23,12.27,13.55,13.72,14.15,13.02,6.62,7.44,1.35,1.13,5.56,6.32,4.25,2.94,1.74
0,0,0,0,0,0,0,0,0,4.43,7.39,11.38,13.29,12.35,11.02,10.93,8.94,7.31,12.37,14.52,16.54,18.24,18.9,20.19
17.83,15.64,15.81,15.08,9.94,12,13.37,16.38,18.41,18.88,18.53,17.61,16.73,16.52,14.54,14.25,14.59,11.84,9.87,11.54,12.81,7.02,6.96,7.09
4.36,1.95,3.19,4.87,4.49,7.47,8.03,3.06,4.64,6.89,4.19,1.68,2.92,2.99,3.02,6.08,6.27,6.8,5.04,0.78,4.2,3.74,1.93,2.26
1.35,1.32,2,2.38,0.57,1.11,1.52,0.61,1.25,3.02,3.28,3.93,5.47,7.81,11.75,10.02,11.56,11.04,11.35,12.66,18.33,19.46,22.59,20.24
21.61,12.52,5.73,3.42,3.13,3.28,3.5,2.8,1.99,1.93,2.51,3.57,6.55,4.56,4.68,5.11,1.77,0.67,0.09,-0.01,-0.01,-0.01,0.04,0.18
0.39,0.67,0.93,1.17,1.72,2.26,3.24,9.97,12.14,7.08,11.38,11.66,14.43,14.42,10.44,9.19,11.48,13.74,18.94,23.41,22.02,21.68,21.36,23.31
18.52,11.23,9.84,9.38,7.77,6.88,6.94,7.36,9.06,10.97,11.91,13.58,13.72,13.22,10.92,10.7,12.87,15.92,23.29,27.2,26.48,24.58,24.44,20.51
17.95,12.21,10.15,10.72,10.96,12.13,12.75,12.58,10.32,10.07,5.22,2.11,5.74,4.37,5.52,5.62,8.11,9.1,6.66,5.62,4.9,3.5,4.98,4.58
5.05,4.05,6.25,9.81,6.7,4.47,4.68,3.65,4.11,3.39,2.67,3.49,3.55,3.74,3.47,2.56,1.25,1.48,4.47,7.59,7.86,12.8,14.47,15.17
16.5,14.01,8.7,8.31,8.59,7.97,7.87,10.14,14.55,18.82,19.67,18,17.6,16.21,15.21,12.66,12.01,14.74,14.32,7.12,8.13,8.12,9.5,7.67
5.41,5.38,5.39,4.54,3.79,3.73,2.95,3.21,2.03,3.58,3.98,3.54,4.55,8.61,7.9,7.54,6.97,5.88,5.6,5.85,4.04,3.48,3.81,3.75
3.05,2.93,2.03,2.11,3.47,3.7,3.82,3.93,5.03,4.77,5.18,7.3,11.74,12.16,12.41,11.2,10.34,10.85,9.53,8.23,8.87,9.01,10.22,7.86
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.25,12.3,8.12,6.17,6.05,3.27,4.72,4.01,5.86,7.03,8.28,13.45,11.13,11.57,7.39,3.54,7.01,6.33,0.98,4.49,16.55,17.94,12.83,8.28
3.05,1.42,1.07,1.47,2.4,5.3,13.51,8.86,12.98,20.35,17.77,22,20.06,14.96,9.41,13.2,19.91,22.81,19.66,19.45,21.71,25.11,25.98,26.13
24.43,14.22,12.75,9.75,9.08,9.96,11.49,11.93,18.18,23.28,23.99,24.89,25.02,22.29,12.56,10,8.51,14.23,21.79,22.2,19.42,19.19,16.38,12.99
8.25,7.07,6.98,9.95,13.48,9.55,15.61,17.87,19.24,19.08,20.92,15.81,15.35,13.76,14.22,13.18,23.36,24.91,24.8,23.43,24.11,22.13,16.54,9.63
11.16,7.8,6.48,7.14,6.53,6.05,5.53,5.65,6.92,9.37,11.75,11.47,9.94,10,12.02,14.49,16.99,10.98,15.41,18.33,14.46,15.15,16.38,20.34
20.43,19.85,17.67,15.58,15.52,17.81,18.03,18.39,20.35,20.91,21.09,21.22,19.54,16.9,13.14,13.07,9.7,6.21,7.55,6.81,5.86,7.58,11.39,8.06
6.92,3.93,7.03,7.09,6.16,9.37,8.01,6.2,4.28,4.58,4.36,3.67,3.3,3.47,3.95,1.03,3.1,2.65,0.25,0.85,2.71,6.07,5.1,1.29
