time,P,G(i),H_sun,T2m,WS10m,Int,
20140101,0,0,0,0,12.56,1.5,0
20140101,0,0,0,0,12.51,1.5,0
20140101,0,0,0,0,12.46,1.5,0
20140101,0,0,0,0,12.41,1.5,0
20140101,0,0,0,0,12.41,1.73,0
20140101,0,0,0,0,12.4,1.95,0
20140101,0,26590.2,169.34,7.13,12.39,2.18,0
20140101,0,42483,251.37,16.53,12.95,2.51,0
20140101,0,97809.6,562.1,24.22,13.51,2.84,0
20140101,0,136151.4,793.31,29.52,14.07,3.17,0
20140101,0,126184.8,732.38,31.75,14.23,3.32,0
20140101,0,20510.7,132.44,30.56,14.39,3.47,0
20140101,0,4809,41.62,26.15,14.56,3.61,0
20140101,0,15336.3,103.44,19.12,14.47,2.96,0
20140101,0,8771.7,65.78,10.18,14.38,2.3,0
20140101,0,0,0,0,14.3,1.64,0
20140101,0,0,0,0,13.92,1.78,0
20140101,0,0,0,0,13.54,1.92,0
20140101,0,0,0,0,13.17,2.06,0
20140101,0,0,0,0,13.15,2.11,0
20140101,0,0,0,0,13.14,2.16,0
20140101,0,0,0,0,13.13,2.21,0
20140101,0,0,0,0,13.43,2.38,0
20140101,0,0,0,0,13.74,2.55,0
20140102,0,0,0,0,14.04,2.72,0
20140102,0,0,0,0,13.89,2.84,0
20140102,0,0,0,0,13.74,2.96,0
20140102,0,0,0,0,13.58,3.08,0
20140102,0,0,0,0,13.55,2.9,0
20140102,0,0,0,0,13.51,2.73,0
20140102,0,35332.5,220.64,7.11,13.48,2.55,0
20140102,0,42919.8,255,16.53,14.15,2.64,0
20140102,0,77448,448.25,24.25,14.82,2.74,0
20140102,0,42308.7,253.84,29.57,15.49,2.83,0
20140102,0,17339.7,115.41,31.83,15.56,2.41,0
20140102,0,27432.3,172.21,30.66,15.63,1.99,0
20140102,0,4036.2,36.89,26.27,15.7,1.57,0
20140102,0,18028.5,119.3,19.25,15.51,1.53,0
20140102,0,8868.3,66.65,10.31,15.32,1.48,0
20140102,0,0,0,0,15.14,1.43,0
20140102,0,0,0,0,14.69,1.62,0
20140102,0,0,0,0,14.25,1.81,0
20140102,0,0,0,0,13.81,2,0
20140102,0,0,0,0,13.63,2.02,0
20140102,0,0,0,0,13.45,2.05,0
20140102,0,0,0,0,13.27,2.07,0
20140102,0,0,0,0,13.42,2.34,0
20140102,0,0,0,0,13.58,2.6,0
20140103,0,0,0,0,13.73,2.87,0
20140103,0,0,0,0,13.66,2.82,0
20140103,0,0,0,0,13.58,2.77,0
20140103,0,0,0,0,13.5,2.72,0
20140103,0,0,0,0,13.46,2.67,0
20140103,0,0,0,0,13.42,2.62,0
20140103,0,9557.1,70.91,7.1,13.38,2.57,0
20140103,0,21850.5,139.32,16.54,13.89,2.7,0
20140103,0,104370,603.24,24.28,14.41,2.83,0
20140103,0,34763.4,211.67,29.63,14.92,2.97,0
20140103,0,101171.7,586.21,31.92,14.91,3.05,0
20140103,0,61393.5,358.33,30.78,14.9,3.13,0
20140103,0,25981.2,163.07,26.4,14.89,3.21,0
20140103,0,50933.4,299.49,19.39,14.64,2.59,0
20140103,0,6806.1,53.98,10.45,14.4,1.96,0
20140103,0,0,0,0,14.16,1.34,0
20140103,0,0,0,0,13.77,1.68,0
20140103,0,0,0,0,13.38,2.03,0
20140103,0,0,0,0,12.99,2.37,0
20140103,0,0,0,0,12.81,2.37,0
20140103,0,0,0,0,12.63,2.37,0
20140103,0,0,0,0,12.45,2.37,0
20140103,0,0,0,0,12.59,2.76,0
20140103,0,0,0,0,12.73,3.15,0
20140104,0,0,0,0,12.87,3.54,0
20140104,0,0,0,0,12.76,3.38,0
20140104,0,0,0,0,12.64,3.22,0
20140104,0,0,0,0,12.52,3.06,0
20140104,0,0,0,0,12.5,2.87,0
20140104,0,0,0,0,12.47,2.68,0
20140104,0,5235.3,44.22,7.09,12.45,2.48,0
20140104,0,18958.8,122.78,16.56,12.98,3.32,0
20140104,0,51038.4,297.31,24.32,13.51,4.16,0
20140104,0,119116.2,680.03,29.7,14.04,4.99,0
20140104,0,28639.8,176.89,32.01,14.2,5.25,0
20140104,0,20397.3,131.49,30.9,14.35,5.51,0
20140104,0,51830.1,302.05,26.53,14.51,5.77,0
20140104,0,35914.2,215.74,19.53,14.36,4.69,0
20140104,0,6659.1,53,10.6,14.21,3.61,0
20140104,0,0,0,0,14.06,2.54,0
20140104,0,0,0,0,13.71,2.43,0
