1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
32,30.6,28.4,25.6,24,23.3,23.6,24.8,24,26.5,31.5,36.2,36.7,33.3,30.9,28.4,28.9,33.8,38.5,39,38.7,37.3,34.4,31.7
29.3,26.6,24.3,23.2,22.4,22.3,23.3,26.3,29.5,30.7,34.9,38.5,41.2,41.1,40.2,39.6,39.6,42.4,45.1,44.1,43.3,41,37.8,34.7
30.3,26.8,24.7,23.2,22.5,22.6,24.6,27.8,31.4,35,34.4,35.1,33.4,29.6,28.9,28.9,32.2,41.3,46.4,45.9,44.8,41.6,38.8,35.7
31.1,27.4,25.3,24.1,22.9,22.8,24.4,26.8,30.5,32.1,33.9,34,33.3,34.7,34.4,35.4,38.5,43.8,48.1,47.1,44.7,41.4,37.9,34.9
31.4,28.1,25.8,24.1,23.2,23.2,24.2,25.5,24.7,22.9,22.2,22.8,23.2,23.3,23,24.2,28.7,36.9,43.1,43,42.2,40.2,37.4,33.8
29.9,26.7,25,23.7,22.8,22.4,23.5,25.8,27.5,27,28.6,31.3,32.1,33.5,32.2,31.9,33.3,37.6,42.5,42.7,42.1,40,36.8,33.4
29.4,25.7,24.2,23,22.3,22.4,24.5,28.5,34,38.7,40.2,41,41.7,42.6,41,39.5,40.7,45.7,50.9,50,48.1,44.1,39.7,35
30.8,27,24.7,23.6,22.9,23.1,25.8,31.9,36.4,39.7,40,38.9,38.9,38.8,40.4,40.6,41.1,45,49.1,49,48.1,44.8,40.7,36.4
31,27,24.9,23.4,22.7,23.3,25.7,31.6,34.5,33.7,32.4,32.5,32.7,32.3,31.2,32,34.8,42,48.6,48.8,48,45,40.9,36.2
31.2,27.3,25,24.1,23.2,23.4,26.3,31.9,32.6,30.8,29,27.6,27.3,27.4,26.5,27.2,31.7,40.1,47.1,47.3,46.3,43.4,39.4,35.8
31.5,27.1,25.3,24,23.4,23.7,25.4,27.7,28.7,28.5,27.8,26.6,26.2,27.9,31.6,34.1,37.1,42.1,46.5,46,43.8,41.1,37.7,34.4
30.2,26.9,25.1,23.6,22.9,22.6,23.6,25.2,25,23.8,23,24.9,25.4,25.6,25.3,25.9,30.3,36.8,42.8,43.2,42.6,40.6,37.3,33
27.6,24.4,22.7,22,22,22.4,25.2,30.3,30.9,31.7,34.4,35.3,37.4,39.7,39.8,39.9,40.5,42.7,47.1,46.8,46.1,43.5,39.6,34.7
30,26.4,24,22.8,22.4,22.6,25.3,30.3,32.8,31.2,29.8,27.1,26.7,27.5,29.8,30.7,33.1,39.3,46.4,47.4,46.8,43.7,39.6,34.9
29.6,26,24.3,22.5,22.1,22.6,25,30.5,34.3,36.1,36.7,35.4,36.5,37.5,36.4,36.6,37.9,42.5,47.6,47.6,47.1,43.9,39.2,34.4
29.8,26.3,24,22.7,21.6,22.2,25,30.9,36,38.9,38.9,37.9,38.3,38.9,33.5,31.8,34,39.9,47.3,47.8,47.5,44.5,40.1,35.6
30.3,26.4,24.2,23.1,22.6,23.3,26.3,31.2,31.4,28.7,26.4,25.5,25.3,26.1,25.4,25.8,30.1,37.1,44.1,43.8,42.9,39.5,36.3,33.1
29.2,25.7,23.7,22.4,21.6,21.7,22.9,25.3,27.6,28.2,28.1,27.2,28.7,30.6,28.7,31,33.7,38.6,43.7,43.1,40.9,37.9,34.4,31.2
27.9,25,22.8,21.9,21.4,20.9,21.6,23,23.9,26.2,31.1,33.5,31.3,26.1,23.7,23.9,26.8,33.3,40.9,41.5,40.9,38.6,35.5,31.5
27.2,24.1,22.7,21.5,21,21.2,23.8,28.4,30.3,30.2,28.1,26.5,27.1,27.1,25.7,26.2,28.8,34.8,43.1,43.3,42.3,39.5,35.8,31.8
27.3,23.3,21.5,21.1,20.6,21.1,23.7,29.4,31.5,30.9,28.2,26.3,26.2,26.4,26.8,27.2,29.2,35.8,42.9,43.5,43.5,41.5,36.8,32.1
27.2,24,21.6,20.5,20.4,21.4,23.6,28.9,29.3,27.8,26.8,26.6,28,29.1,30.2,29.2,31.4,35.6,42.7,43.3,42.4,39.5,35.4,32
27.3,24.1,21.5,20.3,19.3,19.8,23.1,28,28.9,27.2,27.1,25.3,24.6,25.6,26.3,27.4,29.6,35.6,44.6,44.9,44.8,41.9,38.1,33.2
28.5,25.4,23.3,22.2,21.6,21.6,25,30.2,32.5,34.2,31.5,34.8,37.7,37.4,35.3,32.8,34.4,0,45.5,45.2,44.5,40.7,37.3,33.1
26.9,23.3,21.2,19.9,19.1,19.5,20.9,23.3,25.7,25.9,25.5,24.8,25,25.5,24.6,25.7,30.1,35.7,42.8,42.4,41.5,36.8,33.2,32
27.6,24.4,23.1,21.8,21,21.1,22.4,24.6,27.5,30.8,33.6,32.3,35.2,33.6,32.8,32.9,33.2,37.1,43.6,44.4,43.9,41.3,37.4,33.6
29,25.3,23.5,21.9,21.7,21.8,25.1,30.9,35.4,38.1,37.3,36.7,0,0,0,0,0,0,0,0,0,0,0,0
28.7,24.3,21.9,21,20.1,20.4,23.7,30.4,35.3,38.5,37.9,38.9,39.6,39.5,39.3,39.4,40.2,43.9,49.5,50,49.4,46,37.1,33
30.6,27.4,25.1,23.9,22.7,23,26.4,32.2,34.2,31.7,29.3,27.5,30,29.3,29.2,31.2,34.2,37.2,44.8,46,45.6,42.9,39.2,34.8
30.4,26.5,23.8,22.3,22.5,23,25.6,29.9,31.2,31.2,30.5,28.9,32.7,33.7,32.2,32.2,34.2,39.1,47.4,48.5,47.8,44.2,40,35.8
